time,direction,type
05:05,広島,普通
05:29,広島,普通
05:29,広,普通
05:52,広島,普通
06:10,広島,普通
06:26,広島,快速通勤ライナー
06:26,広,普通
06:41,広島,普通
06:54,広,普通
07:01,広島,普通
07:16,広島,快速通勤ライナー
07:22,広島,普通
07:34,広島,普通
07:35,広,普通
07:53,広島,快速通勤ライナー
07:59,広島,普通
07:59,広,普通
08:14,呉,普通
08:23,広島,普通
08:23,広,普通
08:41,広島,快速通勤ライナー
08:47,広,普通
08:48,広島,普通
09:03,広島,普通
09:13,広島,普通
09:13,広,普通
09:37,広島,普通
09:37,広,普通
09:47,広,普通
10:10,広島,快速ライナー
10:10,広,快速ライナー
10:39,広島,快速ライナー
10:40,広,快速ライナー
11:10,広島,快速ライナー
11:10,広,快速ライナー
11:41,広島,快速ライナー
11:41,広,快速ライナー
12:08,広島,快速ライナー
12:08,広,快速ライナー
12:38,広島,快速ライナー
12:38,広,快速ライナー
13:10,広島,快速ライナー
13:10,広,快速ライナー
13:38,広島,快速ライナー
13:38,広,快速ライナー
14:08,広島,快速ライナー
14:08,広,快速ライナー
14:38,広島,快速ライナー
14:38,広,快速ライナー
15:08,広島,快速ライナー
15:08,広,快速ライナー
15:39,広島,快速ライナー
15:39,広,快速ライナー
16:06,広島,普通
16:06,広,快速ライナー
16:22,広島,普通
16:31,広,普通
16:45,広島,快速ライナー
16:45,広,快速ライナー
17:07,広島,普通
17:07,広,快速ライナー
17:33,広島,普通
17:33,広,普通
17:42,広,快速ライナー
17:58,広島,普通
17:58,広,普通
18:07,広,快速ライナー
18:22,広島,普通
18:31,広,普通
18:42,広島,普通
18:42,広,快速ライナー
18:58,広島,普通
18:58,広,普通
19:08,広,快速ライナー
19:20,広島,普通
19:29,広,普通
19:39,広島,普通
19:40,広,快速ライナー
19:58,広島,普通
19:58,広,普通
20:07,広,快速ライナー
20:31,広島,普通
20:31,広,普通
20:47,広,快速ライナー
21:06,広,普通
21:22,広島,普通
21:32,広,快速ライナー
21:58,広島,普通
22:07,広,快速ライナー
22:23,広島,普通
22:32,広,普通
22:59,広,普通
23:13,広島,普通
23:22,広,普通
23:46,広,普通
00:29,広,普通
